abandon,放弃,抛弃
ability,能力,才智
able,能够的,有能力的
about,关于,大约
above,在上面,超过
abroad,在国外,到国外
absence,缺席,缺乏
absent,缺席的,缺少的
absolute,绝对的,完全的
absolutely,绝对地,完全地
absorb,吸收,专注
abstract,抽象的,摘要
abundant,丰富的,充裕的
abuse,滥用,虐待
academic,学术的,理论的
academy,学院,学会
accept,接受,承认
acceptable,可接受的,令人满意的
acceptance,接受,承认
access,进入,接近
accident,事故,意外
accompany,陪伴,伴随
according,根据,按照
account,账户,描述
accurate,准确的,精确的
accuse,指控,指责
achieve,实现,达到
achievement,成就,成绩
acid,酸的,酸性的
acknowledge,承认,认可
acquire,获得,取得
acquisition,获得,收购
across,穿过,横跨
act,行动,法案
action,行动,动作
activate,激活,启动
active,积极的,活跃的
activity,活动,行为
actor,演员,行动者
actual,实际的,真实的
actually,实际上,事实上
ad,广告,宣传
adapt,适应,改编
adaptation,适应,改编
add,添加,增加
addition,添加,增加
additional,额外的,附加的
address,地址,演讲
adequate,足够的,适当的
adequately,足够地,适当地
adjust,调整,适应
adjustment,调整,适应
administration,管理,行政
administrative,行政的,管理的
administrator,管理员,行政人员
admire,钦佩,赞美
admission,承认,进入
admit,承认,允许
adopt,采用,收养
adoption,采用,收养
adult,成人的,成熟的
advance,前进,提前
advanced,高级的,先进的
advantage,优势,好处
adventure,冒险,奇遇
adverb,副词
advertise,做广告,宣传
advertisement,广告,宣传
advice,建议,忠告
advisable,明智的,可取的
advise,建议,劝告
advisor,顾问,建议者
advocate,提倡,支持
aesthetic,美学的,审美的
affair,事件,事务
affect,影响,感动
affection,喜爱,感情
affordable,负担得起的
afraid,害怕的,担心的
afterward,后来,之后
again,再次,又
against,反对,对抗
age,年龄,时代
agency,机构,代理
agenda,议程,日程
agent,代理,特工
aggressive,侵略的,积极的
aging,老化,衰老
agree,同意,赞成
agreement,同意,协议
agricultural,农业的
agriculture,农业
ahead,在前面,提前
aid,帮助,援助
aim,目标,瞄准
air,空气,航空
aircraft,飞机,航空器
airline,航空公司
airport,机场
alarm,警报,闹钟
album,专辑,相册
alcohol,酒精,酒
alive,活着的,有活力的
all,所有的,全部
alliance,联盟,结盟
allocate,分配,拨出
allocation,分配,配置
allow,允许,让...得到
almost,几乎,差不多
alone,独自的,单独的
along,沿着,一起
aloud,大声地
already,已经,早已
also,也,同样
alter,改变,修改
alternative,替代的,选择
although,虽然,尽管
altogether,完全,总共
always,总是,永远
amaze,使惊异,惊奇
amazing,令人惊异的,极好的
ambassador,大使,使者
ambition,野心,抱负
ambulance,救护车
amid,在...中间
among,在...中间
amount,数量,总额
analysis,分析,解析
analyst,分析师
analyze,分析,解析
ancestor,祖先,祖宗
anchor,锚,主持人
ancient,古代的,古老的
and,和,与
anger,愤怒,怒气
angle,角度,观点
angry,愤怒的,生气的
animal,动物,兽性的
ankle,脚踝
anniversary,周年纪念
announce,宣布,通知
announcement,公告,声明
annoy,使烦恼,打扰
annual,每年的,年度的
another,另一个,再一个
answer,回答,答案
anticipate,预期,期待
anxiety,焦虑,担心
anxious,焦虑的,担心的
any,任何,一些
anybody,任何人
anyone,任何人
anything,任何事物
anyway,无论如何,总之
anywhere,任何地方
apart,分开,相距
apartment,公寓
apologize,道歉,致歉
apology,道歉,歉意
app,应用程序
apparent,明显的,表面的
apparently,明显地,表面上
appeal,吸引,上诉
appear,出现,显得
appearance,外表,出现
appendix,附录,盲肠
appetite,食欲,欲望
applause,掌声,喝彩
apple,苹果
application,申请,应用
apply,申请,应用
appoint,任命,约定
appointment,约会,任命
appreciate,欣赏,感激
approach,方法,接近
appropriate,适当的,合适的
appropriately,适当地,合适地
approval,批准,赞成
approve,批准,赞成
approximate,大约的,近似的
approximately,大约,近似
area,区域,面积
argue,争论,辩论
argument,争论,论点
arise,出现,产生
arm,手臂,武装
army,军队,陆军
around,在...周围,大约
arrange,安排,整理
arrangement,安排,整理
array,数组,阵列
arrest,逮捕,阻止
arrival,到达,抵达
arrive,到达,抵达
arrogant,傲慢的,自大的
art,艺术,技巧
article,文章,物品
artist,艺术家,画家
artistic,艺术的,精美的
as,作为,像...一样
ashamed,羞愧的,惭愧的
aside,在旁边,离开
ask,问,要求
asleep,睡着的
aspect,方面,外观
assault,攻击,袭击
assert,断言,维护
assess,评估,估价
assessment,评估,估价
asset,资产,优点
assign,分配,指派
assignment,任务,作业
assist,协助,帮助
assistance,协助,帮助
assistant,助手,助理
associate,associate
association,协会,关联
assume,假设,承担
assumption,假设,承担
assure,保证,确保
astonish,使惊讶,吃惊
atlas,地图集,寰椎
atmosphere,大气,氛围
attach,附加,依恋
attachment,附件,依恋
attack,攻击,袭击
attempt,尝试,企图
attend,参加,照料
attention,注意,关注
attitude,态度,看法
attract,吸引,引起
attraction,吸引,魅力
attractive,有吸引力的,迷人的
attribute,属性,归因
audience,观众,听众
author,作者,创造者
authority,权威,当局
auto,汽车
automatic,自动的,机械的
automatically,自动地
autonomous,自主的,自治的
available,可得到的,有空的
average,平均的,一般的
avoid,避免,避开
awake,醒着的
award,奖品,授予
aware,意识到的,知道的
awareness,意识,认识
away,离开,远离
awesome,令人敬畏的,极好的
awful,可怕的,极坏的
