 abbreviation,n.缩略语,,,,,
 abnormal,a.反常的；变态的,,,,,
 abolish,vt.废除,,,,,
 aboriginal,n./a.土著(的)；土生动植物(的),,,,,
 abort,v.取消；流产,,,,,
 abortion,n.流产；(计划)失败,,,,,
 abound,vi.多；富于,,,,,
 abrasion,n.磨损，擦伤处,,,,,
 abridge,v.(书等)删节,,,,,
 abrupt,adj.突然的，粗暴的,,,,,
 absorb,vt.吸收；吸引,,,,,
 abstract,adj.抽象的 n.(书籍、演说等的)摘要,,,,,
 absurd,a.可笑的，荒谬的,,,,,
 abundance,n.丰富,,,,,
 abuse,n./vt.滥用；恶习；辱骂,,,,,
 academic,a.学术的；学校的,,,,,
 accelerate,v.加速，变快,,,,,
 access,n.通路,,,,,
 access to,接近或使用的机会,,,,,
 accessory,n.同谋者；附件,,,,,
 acclaim,vt.欢呼，喝彩，称赞,,,,,
 accommodate,vt.提供住宿；使适应,,,,,
 accommodation,n.住宿,,,,,
 accompany,vt.陪伴，伴奏,,,,,
 accomplish,vt.实现；完成,,,,,
 accord,n.一致，符合,,,,,
 account,n.账目；帐户；计算 v.说明,,,,,
 take sth into account,考虑到某事,,,,,
 take account of sth,考虑到某事,,,,,
 on account to,因为,,,,,
 on no account,决不,,,,,
 account for,解释，占...比例,,,,,
 accountable for,对...应付责任,,,,,
 accountant,n.会计员,,,,,
 accumulate,n.积累，积聚,,,,,
 accuse,vt.控告,,,,,
 the accused,被告,,,,,
 accuser,原告,,,,,
 achieve,vt.完成，达到,,,,,
 acid,a.酸的；尖刻的 n.酸,,,,,
 acknowledge,vt.承认；表示收到信件，表示感谢,,,,,
 acquaint,vt.使认识；使熟悉,,,,,
 acquire,vt.取得；获得,,,,,
 acquisition,n.获得，获得物,,,,,
 activate,vt.使活动，触发,,,,,
 acute,a.厉害的，敏锐的，(疾病等)急性的,,,,,
 adapt,vt.使适应，改编,,,,,
 addict,vt.使沉迷，使嗜好,,,,,
 address,n.住址；致词 vt.向..致词；在信封上写姓名,,,,,
 adept,a.擅长的，熟练的,,,,,
 adequate,a.充分的；可胜任的,,,,,
 adhere,vi.粘着；忠于；坚持,,,,,
 adjacent,a.邻接的，邻近的,,,,,
 adjoin,vt.贴近，与...毗连,,,,,
 adjust,vt.校准，调整,,,,,
 administer,vt.管理，支配；给予,,,,,
 administration,n.管理，经营；行政,,,,,
 admission,n.准入，接纳，承认,,,,,
 adolescence,n.青春，青春期,,,,,
 adopt,vt.收养；采用,,,,,
 adore,vt.崇拜；非常喜爱,,,,,
 advent,n.降临，出现,,,,,
 adverse,a.不利的；劣的,,,,,
 advertise,v.做广告,,,,,
 advocate,n.辩护人；倡导者 vt.提倡，支持,,,,,
 aerial,a.空气的；空中的 (无线电)天线,,,,,
 aesthetic,a.美学的；艺术的,,,,,
 affect,vt.影响,,,,,
 affection,n.友好；爱情,,,,,
 affiliate,v.使加入，接受为分支机构,,,,,
 affirm,vt.断定，肯定,,,,,
 affix,vt.附加；贴上；盖印 n.词缀,,,,,
 afflict,vt.使痛苦，使苦恼,,,,,
 afford,vt.冒险；...得起；供给,,,,,
 agency,n.代理商(社),,,,,
 agenda,n.议事日程,,,,,
 aggravate,vt.使恶化；使加剧；使气恼,,,,,
 aggregate,n.共计，合计,,,,,
 aggressive,a.侵略的，有闯劲的,,,,,
 agitation,n.摇动，焦虑,,,,,
 agony,n.极度痛苦,,,,,
 agreeable,a.令人愉快的；乐于同意的,,,,,
 agreement,n.同意；协议,,,,,
 air,n.空气,,,,,
 in the air,未定的，流传的,,,,,
 clear the air,消除误会,,,,,
 on the air,广播,,,,,
 give oneself airs,同义于put on airs 装腔作势,,,,,
 airconditioning,n.空气调节,,,,,
 airing,n.通风；讨论,,,,,
 aisle,n.通道,,,,,
 alarm,n.警报，惊慌 vt.使忧虑,,,,,
 album,n.集邮册；相片册,,,,,
 alien,n./a.外侨；外国人的；不相容的,,,,,
 alienate,vt.离间，使疏远,,,,,
 all,ad.完全地 pron.全部，全体,,,,,
 all along,整个，始终,,,,,
 all the same to,无所谓,,,,,
 all out,全力以赴,,,,,
 all told,总共,,,,,
 at all,根本,,,,,
 not at all,根本不,,,,,
 once and for all,只此一次，下不为例,,,,,
 all in all,总地来说,,,,,
 allege,vt.断言；宣称,,,,,
 allegiance,n.忠诚,,,,,
 alleviate,vt.减轻(痛苦等),,,,,
 alliance,n.联盟，同盟,,,,,
 allocate,v.分配，配给,,,,,
 allot,vt.分配；拨给 n.部分；小块菜地,,,,,
 allowance,n.津贴,,,,,
 alloy,n.合金,,,,,
 ally,n./vt.同盟者，伙伴；结盟,,,,,
 alone,a./ad.孤独的(地),,,,,
 let alone,更不用说,,,,,
 let sb alone,同义于leave sb alone 别管某人,,,,,
 let sth alone,同义于leave sth alone 别管某事,,,,,
 alongside,ad./prep.在旁，靠近,,,,,
 alphabetical,a.按字母表顺序的,,,,,
 alter,v.改变，改做,,,,,
 alternate,a.交替的，轮流的 v.轮流交替，交替,,,,,
 alternative,n.两者选一 a.可供选择的；可供替代的,,,,,
 altitude,n.(海拔)高度,,,,,
 amateur,n./a.业余爱好者(的),,,,,
 amaze,vt.使惊奇,,,,,
 ambassador,n.大使；授权代表,,,,,
 ambiguous,a.有歧义的；暧昧的,,,,,
 ambiguity,n.模棱两可；多义词句,,,,,
